Name,Conference,Wins,Loses
Philadelphia 76ers,E,49,23
Brooklyn Nets,E,48,24
Milwaukee Bucks,E,46,26
New York Knicks,E,41,31
Atlanta Hawks,E,41,31
Miami Heat,E,40,32
Boston Celtics,E,36,36
Washington Wizards,E,34,38
Indiana Pacers,E,34,38
Charlotte Hornets,E,33,39
Chicago Bulls,E,31,41
Toronto Raptors,E,27,45
Cleveland Cavaliers,E,22,50
Orlando Magic,E,21,51
Detroit Pistons,E,20,52
Utah Jazz,W,52,20
Phoenix Suns,W,51,21
Denver Nuggets,W,47,25
Los Angeles Clippers,W,47,25
Dallas Mavericks,W,42,30
Portland Trail Blazers,W,42,30
Los Angeles Lakers,W,42,30
Golden State Warriors,W,39,33
Memphis Grizzlies,W,38,34
San Antonio Spurs,W,33,39
New Orleans Pelicans,W,31,41
Sacramento Kings,W,31,41
Minnesota Timberwolves,W,23,49
Oklahoma City Thunder,W,22,50
Houston Rockets,W,17,55
